"Source:","I:\work\hus\Trappelys\Docs\StairLight\StairLight.sch"
"Date:","1/15/2019 5:18:41 PM"
"Tool:","Eeschema (5.0.2)-1"
"Component Count:","15"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~","",""
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~","",""
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~","",""
"J4","Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal","~","",""
"J5","Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal","~","",""
"J6","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~","",""
"R1","100K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"R2","100K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"R3","4.7K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"R4","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"U1","MP1584","MP1584Module:MP1584Module","","",""
"U2","TrinketPro","TrinketPro:DIP1524W60P254L3800H400Q24N","","",""
"U3","PCA9685","PCA9685Module:815","https://www.arrow.com/en/products/815/adafruit-industries","",""
"U4","ULN2803DIP","Package_DIP:DIP-16_W10.16mm_LongPads","","",""
"U5","ULN2803DIP","Package_DIP:DIP-16_W10.16mm_LongPads","","",""
